Nodo: 952	PageRank: 0.00037151759060818603
Nodo: 5033	PageRank: 0.00014583803816421953
Nodo: 6734	PageRank: 0.00013794711830676223
Nodo: 3858	PageRank: 0.00011486262516851643
Nodo: 4816	PageRank: 0.0001089369081112302
Nodo: 31336	PageRank: 9.509951420160387e-05
Nodo: 44499	PageRank: 9.122576786101545e-05
Nodo: 33624	PageRank: 9.075287551172859e-05
Nodo: 23206	PageRank: 8.774336471830469e-05
Nodo: 1791	PageRank: 8.678950884399282e-05
Nodo: 748	PageRank: 8.313109282554882e-05
Nodo: 769	PageRank: 8.02336473094587e-05
Nodo: 8544	PageRank: 8.013893033163226e-05
Nodo: 8832	PageRank: 7.935731813639526e-05
Nodo: 39822	PageRank: 7.556026816072213e-05
Nodo: 5711	PageRank: 7.097186649537596e-05
Nodo: 142	PageRank: 7.096066759314923e-05
Nodo: 1916	PageRank: 7.084325732507653e-05
Nodo: 1098	PageRank: 6.785493927280038e-05
Nodo: 3173	PageRank: 6.768815217273864e-05
Nodo: 3612	PageRank: 6.470862797434018e-05
Nodo: 22820	PageRank: 6.448441943675261e-05
Nodo: 19524	PageRank: 6.198008415301679e-05
Nodo: 5312	PageRank: 6.125062961368414e-05
Nodo: 14201	PageRank: 6.074816828906985e-05
Nodo: 2391	PageRank: 6.0565034716611815e-05
Nodo: 15827	PageRank: 6.0388115946109686e-05
Nodo: 23219	PageRank: 5.910958861038269e-05
Nodo: 8543	PageRank: 5.8871066691082804e-05
Nodo: 12952	PageRank: 5.821667093925782e-05
Nodo: 5311	PageRank: 5.746355092779225e-05
Nodo: 9937	PageRank: 5.6846799279201436e-05
Nodo: 19377	PageRank: 5.6722581765386634e-05
Nodo: 34976	PageRank: 5.670238777999874e-05
Nodo: 12372	PageRank: 5.6508383980263474e-05
Nodo: 31050	PageRank: 5.583375310591788e-05
Nodo: 2643	PageRank: 5.4909133292581134e-05
Nodo: 14165	PageRank: 5.4604182683383484e-05
Nodo: 4433	PageRank: 5.456553418012642e-05
Nodo: 1793	PageRank: 5.4492910847624775e-05
Nodo: 7556	PageRank: 5.4322019095170926e-05
Nodo: 8249	PageRank: 5.421506885820499e-05
Nodo: 36576	PageRank: 5.402246471223775e-05
Nodo: 7343	PageRank: 5.3949588837144905e-05
Nodo: 10138	PageRank: 5.3423810944983074e-05
Nodo: 27845	PageRank: 5.315411433433014e-05
Nodo: 833	PageRank: 5.279240696442063e-05
Nodo: 3477	PageRank: 5.2745558704584574e-05
Nodo: 3542	PageRank: 5.26446577107034e-05
Nodo: 15078	PageRank: 5.230579429719742e-05
Nodo: 6343	PageRank: 5.2164364596866435e-05
Nodo: 15967	PageRank: 5.161371264867277e-05
Nodo: 8244	PageRank: 5.149555363125862e-05
Nodo: 6732	PageRank: 5.090214318527007e-05
Nodo: 37706	PageRank: 5.066604447028914e-05
Nodo: 11378	PageRank: 5.031615572593809e-05
Nodo: 7943	PageRank: 5.0281717267505436e-05
Nodo: 47368	PageRank: 5.02255140896538e-05
Nodo: 4879	PageRank: 5.010643762873e-05
Nodo: 12366	PageRank: 4.99961420236273e-05
Nodo: 7836	PageRank: 4.9896051792978954e-05
Nodo: 7986	PageRank: 4.979918676873239e-05
Nodo: 2382	PageRank: 4.975266705235437e-05
Nodo: 491	PageRank: 4.9460907467515754e-05
Nodo: 29301	PageRank: 4.915276751888685e-05
Nodo: 514	PageRank: 4.914676696393463e-05
Nodo: 5660	PageRank: 4.8605092391067974e-05
Nodo: 38526	PageRank: 4.832377077946679e-05
Nodo: 14979	PageRank: 4.816656254521474e-05
Nodo: 32283	PageRank: 4.7535339686312225e-05
Nodo: 33474	PageRank: 4.7043929127619254e-05
Nodo: 140	PageRank: 4.672419816338144e-05
Nodo: 52	PageRank: 4.645535987411892e-05
Nodo: 1107	PageRank: 4.641794799748384e-05
Nodo: 16605	PageRank: 4.624251266353415e-05
Nodo: 12961	PageRank: 4.5841886776350454e-05
Nodo: 26223	PageRank: 4.5806823454210514e-05
Nodo: 10136	PageRank: 4.542327602957276e-05
Nodo: 1794	PageRank: 4.524940224581998e-05
Nodo: 441	PageRank: 4.501125516579035e-05
Nodo: 11664	PageRank: 4.4991621459375494e-05
Nodo: 38624	PageRank: 4.488469363489881e-05
Nodo: 63617	PageRank: 4.391583013856007e-05
Nodo: 10828	PageRank: 4.369277985839511e-05
Nodo: 17772	PageRank: 4.356445761776636e-05
Nodo: 11304	PageRank: 4.34318900930393e-05
Nodo: 3997	PageRank: 4.322553910036865e-05
Nodo: 20184	PageRank: 4.320119471246326e-05
Nodo: 4943	PageRank: 4.303900509487709e-05
Nodo: 12073	PageRank: 4.290810044402155e-05
Nodo: 20899	PageRank: 4.281035406886509e-05
Nodo: 2971	PageRank: 4.277676813447056e-05
Nodo: 10575	PageRank: 4.261810277336006e-05
Nodo: 14603	PageRank: 4.227452890961306e-05
Nodo: 30063	PageRank: 4.226240839737514e-05
Nodo: 33983	PageRank: 4.2172330087263704e-05
Nodo: 15921	PageRank: 4.204105750615463e-05
Nodo: 11071	PageRank: 4.191451127871784e-05
Nodo: 3611	PageRank: 4.184573413832073e-05
Nodo: 1755	PageRank: 4.174108721227595e-05
