Nodo: 952	PageRank: 0.0003732272601033855
Nodo: 5033	PageRank: 0.0001492252055318145
Nodo: 6734	PageRank: 0.0001341145483376784
Nodo: 3858	PageRank: 0.00011350910670931097
Nodo: 4816	PageRank: 0.00010699898167310212
Nodo: 31336	PageRank: 9.541215362700568e-05
Nodo: 44499	PageRank: 9.242585773883648e-05
Nodo: 33624	PageRank: 9.018613582270959e-05
Nodo: 1791	PageRank: 8.785682502993762e-05
Nodo: 748	PageRank: 8.316834048551199e-05
Nodo: 23206	PageRank: 8.275025906116829e-05
Nodo: 8544	PageRank: 8.101820744603016e-05
Nodo: 769	PageRank: 8.062998898056818e-05
Nodo: 8832	PageRank: 7.961464837859065e-05
Nodo: 39822	PageRank: 7.635958586048623e-05
Nodo: 142	PageRank: 7.337328997231704e-05
Nodo: 1916	PageRank: 6.931192756440693e-05
Nodo: 5711	PageRank: 6.901329797559001e-05
Nodo: 3173	PageRank: 6.775905370255895e-05
Nodo: 1098	PageRank: 6.689302789498989e-05
Nodo: 22820	PageRank: 6.459358006109961e-05
Nodo: 3612	PageRank: 6.453385414333622e-05
Nodo: 5312	PageRank: 6.17267360084572e-05
Nodo: 15827	PageRank: 6.160728417293042e-05
Nodo: 2391	PageRank: 6.121906570746842e-05
Nodo: 19524	PageRank: 6.077112132424305e-05
Nodo: 8543	PageRank: 5.978564368114722e-05
Nodo: 5311	PageRank: 5.9755780722265516e-05
Nodo: 9937	PageRank: 5.87105771614063e-05
Nodo: 14201	PageRank: 5.8680714202524616e-05
Nodo: 12952	PageRank: 5.8501536449234455e-05
Nodo: 1793	PageRank: 5.757578472390201e-05
Nodo: 23219	PageRank: 5.7396606970611864e-05
Nodo: 12372	PageRank: 5.736674401173017e-05
Nodo: 3542	PageRank: 5.68590737107414e-05
Nodo: 19377	PageRank: 5.6530581163042796e-05
Nodo: 34976	PageRank: 5.542565168442019e-05
Nodo: 3477	PageRank: 5.5246473931130044e-05
Nodo: 36576	PageRank: 5.500757026007651e-05
Nodo: 27845	PageRank: 5.423113332915252e-05
Nodo: 4433	PageRank: 5.399222965809898e-05
Nodo: 14165	PageRank: 5.399222965809898e-05
Nodo: 2643	PageRank: 5.3902640781453905e-05
Nodo: 31050	PageRank: 5.369360006928206e-05
Nodo: 15078	PageRank: 5.360401119263699e-05
Nodo: 8249	PageRank: 5.35442852748736e-05
Nodo: 10138	PageRank: 5.258867059065946e-05
Nodo: 37706	PageRank: 5.2439355796251e-05
Nodo: 7343	PageRank: 5.229004100184254e-05
Nodo: 6343	PageRank: 5.226017804296085e-05
Nodo: 8244	PageRank: 5.217058916631578e-05
Nodo: 833	PageRank: 5.205113733078901e-05
Nodo: 15967	PageRank: 5.127470039986502e-05
Nodo: 47368	PageRank: 5.109552264657486e-05
Nodo: 7556	PageRank: 5.091634489328471e-05
Nodo: 4879	PageRank: 5.088648193440302e-05
Nodo: 6732	PageRank: 5.0319085715650876e-05
Nodo: 7943	PageRank: 5.0289222756769186e-05
Nodo: 491	PageRank: 5.019963388012411e-05
Nodo: 11378	PageRank: 4.9990593167952264e-05
Nodo: 7986	PageRank: 4.933360807255504e-05
Nodo: 38526	PageRank: 4.894538960709305e-05
Nodo: 2382	PageRank: 4.879607481268459e-05
Nodo: 1107	PageRank: 4.855717114163105e-05
Nodo: 514	PageRank: 4.855717114163105e-05
Nodo: 140	PageRank: 4.83779933883409e-05
Nodo: 12366	PageRank: 4.825854155281413e-05
Nodo: 32283	PageRank: 4.8168952676169056e-05
Nodo: 14979	PageRank: 4.798977492287891e-05
Nodo: 12961	PageRank: 4.778073421070706e-05
Nodo: 52	PageRank: 4.778073421070706e-05
Nodo: 5660	PageRank: 4.751196758077183e-05
Nodo: 38624	PageRank: 4.7362652786363374e-05
Nodo: 10136	PageRank: 4.7302926868599994e-05
Nodo: 33474	PageRank: 4.709388615642815e-05
Nodo: 7836	PageRank: 4.676539360872954e-05
Nodo: 16605	PageRank: 4.6526489937676e-05
Nodo: 1794	PageRank: 4.6466764019912615e-05
Nodo: 17772	PageRank: 4.563060117122524e-05
Nodo: 441	PageRank: 4.5481286376816785e-05
Nodo: 29301	PageRank: 4.5451423417935095e-05
Nodo: 10828	PageRank: 4.524238270576325e-05
Nodo: 11664	PageRank: 4.5033341993591406e-05
Nodo: 26223	PageRank: 4.476457536365618e-05
Nodo: 20899	PageRank: 4.4495808733720956e-05
Nodo: 11304	PageRank: 4.422704210378573e-05
Nodo: 421	PageRank: 4.389854955608712e-05
Nodo: 3997	PageRank: 4.294293487187297e-05
Nodo: 2971	PageRank: 4.28533459952279e-05
Nodo: 24060	PageRank: 4.270403120081944e-05
Nodo: 14603	PageRank: 4.264430528305605e-05
Nodo: 3611	PageRank: 4.255471640641098e-05
Nodo: 63617	PageRank: 4.252485344752929e-05
Nodo: 11071	PageRank: 4.243526457088421e-05
Nodo: 15921	PageRank: 4.2345675694239135e-05
Nodo: 16365	PageRank: 4.216649794094898e-05
Nodo: 7772	PageRank: 4.21366349820673e-05
Nodo: 4943	PageRank: 4.207690906430391e-05
Nodo: 30063	PageRank: 4.201718314654052e-05
Nodo: 33983	PageRank: 4.1808142434368685e-05
