Nodo: 166	PageRank: 0.00010687895298960273
Nodo: 14689	PageRank: 9.141200828373432e-05
Nodo: 13841	PageRank: 8.467094654736775e-05
Nodo: 7226	PageRank: 7.853974350487438e-05
Nodo: 1832	PageRank: 7.812344531814599e-05
Nodo: 15325	PageRank: 7.679905770869586e-05
Nodo: 12885	PageRank: 7.555887994386641e-05
Nodo: 13810	PageRank: 7.547991864018684e-05
Nodo: 17110	PageRank: 7.287271882016609e-05
Nodo: 10277	PageRank: 7.216277107395798e-05
Nodo: 3335	PageRank: 7.211994271344827e-05
Nodo: 2545	PageRank: 7.116645942311032e-05
Nodo: 864	PageRank: 7.090059806527276e-05
Nodo: 30094	PageRank: 7.027434355800178e-05
Nodo: 1447	PageRank: 6.96985039405259e-05
Nodo: 3297	PageRank: 6.955236549886322e-05
Nodo: 3452	PageRank: 6.893415448014313e-05
Nodo: 60436	PageRank: 6.795612711414263e-05
Nodo: 44	PageRank: 6.732191459487628e-05
Nodo: 27137	PageRank: 6.718409536516058e-05
Nodo: 3345	PageRank: 6.697552581691575e-05
Nodo: 6325	PageRank: 6.598038096843302e-05
Nodo: 35861	PageRank: 6.463404354536547e-05
Nodo: 2911	PageRank: 6.415940906694878e-05
Nodo: 7006	PageRank: 6.408850957250652e-05
Nodo: 24908	PageRank: 6.400094643083592e-05
Nodo: 7105	PageRank: 6.388271346948134e-05
Nodo: 35571	PageRank: 6.349003920626606e-05
Nodo: 9907	PageRank: 6.274455023687098e-05
Nodo: 1817	PageRank: 6.269422063309505e-05
Nodo: 2976	PageRank: 6.235464045141759e-05
Nodo: 8622	PageRank: 6.219588086695441e-05
Nodo: 2485	PageRank: 6.207849179773224e-05
Nodo: 1826	PageRank: 6.131580673025807e-05
Nodo: 9400	PageRank: 6.102992935441129e-05
Nodo: 30981	PageRank: 6.0730334086463324e-05
Nodo: 2005	PageRank: 6.036660044534566e-05
Nodo: 3778	PageRank: 6.00964662646229e-05
Nodo: 479	PageRank: 5.9989119572342416e-05
Nodo: 17275	PageRank: 5.9738028288969186e-05
Nodo: 3299	PageRank: 5.9710743509290006e-05
Nodo: 6318	PageRank: 5.9661255235967036e-05
Nodo: 7429	PageRank: 5.924964507061662e-05
Nodo: 20123	PageRank: 5.9090720556407244e-05
Nodo: 4167	PageRank: 5.9027049369220276e-05
Nodo: 5382	PageRank: 5.632777958017685e-05
Nodo: 29087	PageRank: 5.5863254597179836e-05
Nodo: 1633	PageRank: 5.492376610473212e-05
Nodo: 1196	PageRank: 5.4884308005629484e-05
Nodo: 9799	PageRank: 5.4715895040432645e-05
Nodo: 3281	PageRank: 5.4707021221060245e-05
Nodo: 3344	PageRank: 5.445179039451234e-05
Nodo: 8768	PageRank: 5.438434717181622e-05
Nodo: 4305	PageRank: 5.416747765852362e-05
Nodo: 23387	PageRank: 5.3698943633241465e-05
Nodo: 16499	PageRank: 5.356680340778198e-05
Nodo: 38169	PageRank: 5.3436955742270056e-05
Nodo: 5239	PageRank: 5.332553443512567e-05
Nodo: 874	PageRank: 5.2779446201130695e-05
Nodo: 8944	PageRank: 5.2350439132524586e-05
Nodo: 39789	PageRank: 5.227924364134869e-05
Nodo: 6573	PageRank: 5.215773841253622e-05
Nodo: 1641	PageRank: 5.183729049887327e-05
Nodo: 3293	PageRank: 5.1827780127503453e-05
Nodo: 14943	PageRank: 5.181772814168884e-05
Nodo: 28674	PageRank: 5.155699091615832e-05
Nodo: 24385	PageRank: 5.155286248949027e-05
Nodo: 8632	PageRank: 5.1201607238044495e-05
Nodo: 3343	PageRank: 5.0972733418556084e-05
Nodo: 5693	PageRank: 5.091340775010308e-05
Nodo: 979	PageRank: 5.074736161186146e-05
Nodo: 8221	PageRank: 5.047617719120105e-05
Nodo: 9737	PageRank: 5.036292833951707e-05
Nodo: 22249	PageRank: 5.033110536873491e-05
Nodo: 12204	PageRank: 5.0235924933880364e-05
Nodo: 13814	PageRank: 5.016399202197099e-05
Nodo: 42283	PageRank: 5.00576591556908e-05
Nodo: 9386	PageRank: 4.9905959915606865e-05
Nodo: 5908	PageRank: 4.9878395098482386e-05
Nodo: 8965	PageRank: 4.984719434153021e-05
Nodo: 165	PageRank: 4.937576781284801e-05
Nodo: 10173	PageRank: 4.928873327796079e-05
Nodo: 5474	PageRank: 4.9271247428485534e-05
Nodo: 11216	PageRank: 4.916958839611397e-05
Nodo: 5909	PageRank: 4.914584031743514e-05
Nodo: 69302	PageRank: 4.9090493185297525e-05
Nodo: 7437	PageRank: 4.877190404912989e-05
Nodo: 6327	PageRank: 4.8746717998357245e-05
Nodo: 1951	PageRank: 4.8244947690302915e-05
Nodo: 1932	PageRank: 4.8068534008334664e-05
Nodo: 29778	PageRank: 4.799367762664976e-05
Nodo: 6328	PageRank: 4.7832470561926134e-05
Nodo: 905	PageRank: 4.78115691163909e-05
Nodo: 6317	PageRank: 4.776897225840308e-05
Nodo: 15109	PageRank: 4.745286233902242e-05
Nodo: 14326	PageRank: 4.743205336506411e-05
Nodo: 2001	PageRank: 4.721379237409557e-05
Nodo: 1499	PageRank: 4.712915605695767e-05
Nodo: 17271	PageRank: 4.7013399355440914e-05
Nodo: 21004	PageRank: 4.696671416081819e-05
