Nodo: 166	PageRank: 0.00010486312602497792
Nodo: 14689	PageRank: 9.082881291787561e-05
Nodo: 13841	PageRank: 8.489970985240318e-05
Nodo: 7226	PageRank: 7.893906900466759e-05
Nodo: 15325	PageRank: 7.742525545603633e-05
Nodo: 13810	PageRank: 7.66683486817207e-05
Nodo: 1832	PageRank: 7.53752996089315e-05
Nodo: 17110	PageRank: 7.341995710861611e-05
Nodo: 12885	PageRank: 7.209537025356376e-05
Nodo: 30094	PageRank: 7.187460577772171e-05
Nodo: 2545	PageRank: 7.133846347924815e-05
Nodo: 3335	PageRank: 7.096001009209033e-05
Nodo: 864	PageRank: 6.973003658382742e-05
Nodo: 1447	PageRank: 6.966696101930112e-05
Nodo: 10277	PageRank: 6.963542323703797e-05
Nodo: 3452	PageRank: 6.853160085782767e-05
Nodo: 3297	PageRank: 6.771161851898575e-05
Nodo: 60436	PageRank: 6.63870316639334e-05
Nodo: 3345	PageRank: 6.613472940582819e-05
Nodo: 2911	PageRank: 6.566166267188092e-05
Nodo: 27137	PageRank: 6.544089819603885e-05
Nodo: 44	PageRank: 6.531474706698624e-05
Nodo: 7006	PageRank: 6.487321811530213e-05
Nodo: 7105	PageRank: 6.458937807493377e-05
Nodo: 6325	PageRank: 6.41163113409865e-05
Nodo: 35861	PageRank: 6.370632017156553e-05
Nodo: 9400	PageRank: 6.29494133972499e-05
Nodo: 1817	PageRank: 6.2760186703671e-05
Nodo: 8622	PageRank: 6.250788444556579e-05
Nodo: 2976	PageRank: 6.235019553425003e-05
Nodo: 4167	PageRank: 6.222404440519742e-05
Nodo: 2485	PageRank: 6.200327992935537e-05
Nodo: 35571	PageRank: 6.190866658256591e-05
Nodo: 3299	PageRank: 6.15302131954081e-05
Nodo: 9907	PageRank: 6.149867541314494e-05
Nodo: 479	PageRank: 6.14040620663555e-05
Nodo: 30981	PageRank: 6.118329759051343e-05
Nodo: 3778	PageRank: 6.0867919767881925e-05
Nodo: 6318	PageRank: 6.0741768638829316e-05
Nodo: 24908	PageRank: 6.0741768638829316e-05
Nodo: 20123	PageRank: 5.944871956604012e-05
Nodo: 1826	PageRank: 5.932256843698751e-05
Nodo: 7429	PageRank: 5.9070266178882296e-05
Nodo: 2005	PageRank: 5.872335057398764e-05
Nodo: 17275	PageRank: 5.837643496909297e-05
Nodo: 5382	PageRank: 5.6799545855935406e-05
Nodo: 4305	PageRank: 5.569572347672511e-05
Nodo: 1633	PageRank: 5.5569572347672514e-05
Nodo: 3281	PageRank: 5.5317270089567294e-05
Nodo: 9799	PageRank: 5.5254194525041e-05
Nodo: 3344	PageRank: 5.4591901097514815e-05
Nodo: 23387	PageRank: 5.405575879904124e-05
Nodo: 10173	PageRank: 5.345654093604138e-05
Nodo: 29087	PageRank: 5.326731424246247e-05
Nodo: 1641	PageRank: 5.2951936419830954e-05
Nodo: 14943	PageRank: 5.288886085530465e-05
Nodo: 1196	PageRank: 5.2762709726252046e-05
Nodo: 8768	PageRank: 5.247886968588369e-05
Nodo: 6573	PageRank: 5.225810521004163e-05
Nodo: 16499	PageRank: 5.206887851646272e-05
Nodo: 42283	PageRank: 5.191118960514696e-05
Nodo: 38169	PageRank: 5.191118960514696e-05
Nodo: 3343	PageRank: 5.181657625835751e-05
Nodo: 39789	PageRank: 5.1721962911568055e-05
Nodo: 5693	PageRank: 5.16273495647786e-05
Nodo: 3293	PageRank: 5.15642740002523e-05
Nodo: 874	PageRank: 5.146966065346284e-05
Nodo: 8632	PageRank: 5.115428283083133e-05
Nodo: 8944	PageRank: 5.087044279046297e-05
Nodo: 69302	PageRank: 5.083890500819982e-05
Nodo: 8965	PageRank: 5.064967831462091e-05
Nodo: 5474	PageRank: 5.0176611580673645e-05
Nodo: 979	PageRank: 5.011353601614734e-05
Nodo: 8221	PageRank: 5.0050460451621036e-05
Nodo: 165	PageRank: 5.001892266935788e-05
Nodo: 9737	PageRank: 4.9735082628989524e-05
Nodo: 6317	PageRank: 4.9451242588621166e-05
Nodo: 5239	PageRank: 4.929355367730541e-05
Nodo: 9386	PageRank: 4.916740254825281e-05
Nodo: 1499	PageRank: 4.888356250788445e-05
Nodo: 28674	PageRank: 4.888356250788445e-05
Nodo: 11216	PageRank: 4.8820486943358143e-05
Nodo: 24385	PageRank: 4.878894916109499e-05
Nodo: 12204	PageRank: 4.8694335814305534e-05
Nodo: 22249	PageRank: 4.866279803204238e-05
Nodo: 6327	PageRank: 4.844203355620032e-05
Nodo: 2008	PageRank: 4.8126655733568816e-05
Nodo: 905	PageRank: 4.8095117951305664e-05
Nodo: 6328	PageRank: 4.806358016904251e-05
Nodo: 4559	PageRank: 4.8000504604516206e-05
Nodo: 29778	PageRank: 4.793742903998991e-05
Nodo: 7437	PageRank: 4.793742903998991e-05
Nodo: 764	PageRank: 4.777974012867415e-05
Nodo: 1951	PageRank: 4.771666456414785e-05
Nodo: 1932	PageRank: 4.76220512173584e-05
Nodo: 24225	PageRank: 4.755897565283209e-05
Nodo: 8384	PageRank: 4.7401286741516337e-05
Nodo: 13814	PageRank: 4.733821117699004e-05
Nodo: 17271	PageRank: 4.7275135612463734e-05
Nodo: 5908	PageRank: 4.721206004793743e-05
