Nodo: 47	PageRank: 0.00551353002509767
Nodo: 1581	PageRank: 0.002366176204266574
Nodo: 698	PageRank: 0.002157785124857029
Nodo: 697	PageRank: 0.0017209881861595105
Nodo: 420	PageRank: 0.0016701830297792687
Nodo: 394	PageRank: 0.0015004149152022927
Nodo: 385	PageRank: 0.0013694770731512934
Nodo: 380	PageRank: 0.001307202512308964
Nodo: 435	PageRank: 0.0012937503304083393
Nodo: 719	PageRank: 0.0011979512055847329
Nodo: 1289	PageRank: 0.0011372771478162513
Nodo: 2026	PageRank: 0.0009674778329904528
Nodo: 4033	PageRank: 0.0009572570211061507
Nodo: 1912	PageRank: 0.0008751744240765846
Nodo: 4130	PageRank: 0.0008429627394181705
Nodo: 1298	PageRank: 0.0008242764408004039
Nodo: 947	PageRank: 0.0007994015561780885
Nodo: 4122	PageRank: 0.0007879272537693594
Nodo: 730	PageRank: 0.000777429949903439
Nodo: 3401	PageRank: 0.0007278357399747398
Nodo: 1076	PageRank: 0.000712643260922552
Nodo: 125992	PageRank: 0.000698637775764803
Nodo: 125990	PageRank: 0.0006826812163965349
Nodo: 39539	PageRank: 0.0006804448535126904
Nodo: 125991	PageRank: 0.0006633826377010965
Nodo: 1972	PageRank: 0.0006472036573335772
Nodo: 2879	PageRank: 0.0006371867381420333
Nodo: 782	PageRank: 0.000631663337068159
Nodo: 691	PageRank: 0.000590574651596037
Nodo: 1067	PageRank: 0.0005774775307789305
Nodo: 1226	PageRank: 0.0005607303240254087
Nodo: 767	PageRank: 0.0005588097305500955
Nodo: 6308	PageRank: 0.0005400772394798795
Nodo: 521	PageRank: 0.0005397820029272098
Nodo: 9519	PageRank: 0.000508988713089697
Nodo: 2756	PageRank: 0.0005082091626218286
Nodo: 31202	PageRank: 0.0005041846907676276
Nodo: 6371	PageRank: 0.00048210183974651096
Nodo: 28902	PageRank: 0.0004811323309002763
Nodo: 2701	PageRank: 0.000480980161575161
Nodo: 705	PageRank: 0.000472835021312476
Nodo: 1324	PageRank: 0.00046471445028609
Nodo: 2849	PageRank: 0.00046025068809430814
Nodo: 3901	PageRank: 0.00044698253840095507
Nodo: 816	PageRank: 0.00044662757169590893
Nodo: 25929	PageRank: 0.00044399339978054716
Nodo: 1913	PageRank: 0.0004416232401389566
Nodo: 1142	PageRank: 0.00043811836672315606
Nodo: 8309	PageRank: 0.00042441656294815527
Nodo: 1030	PageRank: 0.0004183517304629164
Nodo: 14203	PageRank: 0.00041726781415399333
Nodo: 2939	PageRank: 0.000415804584093665
Nodo: 8460	PageRank: 0.00040590911624523743
Nodo: 745	PageRank: 0.0004029405650547689
Nodo: 3859	PageRank: 0.0004010075809245937
Nodo: 8	PageRank: 0.00039228605430918523
Nodo: 992	PageRank: 0.00039078431715902157
Nodo: 1834	PageRank: 0.0003887688604612527
Nodo: 716	PageRank: 0.0003862957921763663
Nodo: 2010	PageRank: 0.00038270072414943636
Nodo: 3213	PageRank: 0.00038030043622149396
Nodo: 3628	PageRank: 0.0003750857833560803
Nodo: 1761	PageRank: 0.00037425249027808635
Nodo: 1737	PageRank: 0.00037266611251511437
Nodo: 15026	PageRank: 0.0003657330885308945
Nodo: 81	PageRank: 0.00036285178280972955
Nodo: 2971	PageRank: 0.00036156598847958085
Nodo: 1271	PageRank: 0.0003614547435854412
Nodo: 612	PageRank: 0.00035874925364371335
Nodo: 11196	PageRank: 0.0003558889853168074
Nodo: 2774	PageRank: 0.0003536810663981714
Nodo: 6606	PageRank: 0.00035221748249817373
Nodo: 55803	PageRank: 0.0003507029609970075
Nodo: 600	PageRank: 0.0003472795274695541
Nodo: 3994	PageRank: 0.0003460193257400087
Nodo: 6104	PageRank: 0.00034525025888539003
Nodo: 1005	PageRank: 0.0003402357125792053
Nodo: 599	PageRank: 0.0003399283453600654
Nodo: 626	PageRank: 0.00033864406838227963
Nodo: 425	PageRank: 0.0003354519893000493
Nodo: 1863	PageRank: 0.00033537036080450035
Nodo: 1240	PageRank: 0.0003350425480935447
Nodo: 54	PageRank: 0.00033471924814749634
Nodo: 2003	PageRank: 0.0003273060502857599
Nodo: 3174	PageRank: 0.0003231062897624626
Nodo: 6587	PageRank: 0.0003224601602731963
Nodo: 1759	PageRank: 0.0003193885590562369
Nodo: 1836	PageRank: 0.00031862444932881135
Nodo: 753	PageRank: 0.0003166449569630667
Nodo: 6589	PageRank: 0.00031617194733158115
Nodo: 3861	PageRank: 0.000315236758447646
Nodo: 601	PageRank: 0.000307580011784401
Nodo: 45881	PageRank: 0.0003057925119666774
Nodo: 2854	PageRank: 0.0003051062569224326
Nodo: 1056	PageRank: 0.0003046140986373266
Nodo: 8210	PageRank: 0.00030449877674683466
Nodo: 714	PageRank: 0.0003016576042060524
Nodo: 3050	PageRank: 0.00030133879900907446
Nodo: 7540	PageRank: 0.0002918006671077917
Nodo: 1611	PageRank: 0.0002910030446130174
