Nodo: 47	PageRank: 0.005516056755023336
Nodo: 1581	PageRank: 0.002362060275000293
Nodo: 698	PageRank: 0.0021592094620731693
Nodo: 697	PageRank: 0.001720719468553812
Nodo: 420	PageRank: 0.0016748944593017318
Nodo: 394	PageRank: 0.0015029564792192415
Nodo: 385	PageRank: 0.0013651214157608558
Nodo: 380	PageRank: 0.001303111545758863
Nodo: 435	PageRank: 0.0012992348822683253
Nodo: 719	PageRank: 0.0012009953731225813
Nodo: 1289	PageRank: 0.0011330574734201549
Nodo: 2026	PageRank: 0.0009647449691290317
Nodo: 4033	PageRank: 0.0009572846944636555
Nodo: 1912	PageRank: 0.0008774907353603622
Nodo: 4130	PageRank: 0.0008436222605888175
Nodo: 1298	PageRank: 0.0008236947031212583
Nodo: 947	PageRank: 0.0008001416698623324
Nodo: 4122	PageRank: 0.0007916933902468841
Nodo: 730	PageRank: 0.0007760946341283703
Nodo: 3401	PageRank: 0.0007291309073067153
Nodo: 1076	PageRank: 0.0007162700971091644
Nodo: 125992	PageRank: 0.0006964430147212737
Nodo: 39539	PageRank: 0.0006814889736972987
Nodo: 125990	PageRank: 0.0006805763250569777
Nodo: 125991	PageRank: 0.0006609753115983408
Nodo: 1972	PageRank: 0.0006443885505297548
Nodo: 2879	PageRank: 0.0006374473971093319
Nodo: 782	PageRank: 0.0006271821931365473
Nodo: 691	PageRank: 0.0005889095607062058
Nodo: 1067	PageRank: 0.0005795570053737421
Nodo: 1226	PageRank: 0.0005620241039716125
Nodo: 767	PageRank: 0.0005557527844156454
Nodo: 521	PageRank: 0.0005433022474600737
Nodo: 6308	PageRank: 0.0005401121636806031
Nodo: 9519	PageRank: 0.0005081359695761458
Nodo: 2756	PageRank: 0.0005072233209358249
Nodo: 31202	PageRank: 0.0005070056249298767
Nodo: 6371	PageRank: 0.0004829418433493033
Nodo: 28902	PageRank: 0.00048193709255261964
Nodo: 2701	PageRank: 0.0004780353102921647
Nodo: 705	PageRank: 0.00047344694832064275
Nodo: 1324	PageRank: 0.00046529172102089376
Nodo: 2849	PageRank: 0.00046143180337696743
Nodo: 816	PageRank: 0.0004503879175367529
Nodo: 3901	PageRank: 0.00044694664605811145
Nodo: 1913	PageRank: 0.00044358073088922117
Nodo: 25929	PageRank: 0.0004423750299332008
Nodo: 1142	PageRank: 0.0004365391023891299
Nodo: 8309	PageRank: 0.00042603945656378577
Nodo: 2939	PageRank: 0.00041878013205774636
Nodo: 14203	PageRank: 0.0004186629111314666
Nodo: 1030	PageRank: 0.0004183447400458501
Nodo: 8460	PageRank: 0.0004088498450171896
Nodo: 745	PageRank: 0.00040407727873294225
Nodo: 3859	PageRank: 0.0004011635014225597
Nodo: 8	PageRank: 0.0003915011479277852
Nodo: 992	PageRank: 0.00038963398603061476
Nodo: 1834	PageRank: 0.00038823570783856333
Nodo: 716	PageRank: 0.0003868960401096518
Nodo: 2010	PageRank: 0.00038229093229151837
Nodo: 3213	PageRank: 0.0003806414664002961
Nodo: 1761	PageRank: 0.00037451248654052577
Nodo: 3628	PageRank: 0.00037382590682945863
Nodo: 1737	PageRank: 0.00037226854309459895
Nodo: 15026	PageRank: 0.00036527715213434186
Nodo: 81	PageRank: 0.00036335137977403154
Nodo: 1271	PageRank: 0.0003619698474285915
Nodo: 2971	PageRank: 0.0003604124836937319
Nodo: 612	PageRank: 0.0003577582670058259
Nodo: 2774	PageRank: 0.0003561339198845206
Nodo: 11196	PageRank: 0.0003557403924891529
Nodo: 6606	PageRank: 0.00035234935855034557
Nodo: 55803	PageRank: 0.0003518888477685322
Nodo: 3994	PageRank: 0.0003454165780532283
Nodo: 600	PageRank: 0.0003453244758968657
Nodo: 6104	PageRank: 0.00034422762294381937
Nodo: 599	PageRank: 0.00034073611392534367
Nodo: 1005	PageRank: 0.00034051004499608984
Nodo: 1863	PageRank: 0.0003375292842992617
Nodo: 626	PageRank: 0.0003360137851809305
Nodo: 1240	PageRank: 0.0003348415759181329
Nodo: 54	PageRank: 0.0003347662196083816
Nodo: 425	PageRank: 0.00033355214572905554
Nodo: 2003	PageRank: 0.00033138355859288
Nodo: 3174	PageRank: 0.0003231780937532968
Nodo: 6587	PageRank: 0.0003220310032604163
Nodo: 1759	PageRank: 0.0003201722142865515
Nodo: 1836	PageRank: 0.0003178194228376507
Nodo: 6589	PageRank: 0.0003166304677282417
Nodo: 753	PageRank: 0.00031643789049221066
Nodo: 3861	PageRank: 0.0003142358116628123
Nodo: 601	PageRank: 0.0003107443026443366
Nodo: 1056	PageRank: 0.00030568705696769555
Nodo: 2854	PageRank: 0.0003047827812506803
Nodo: 45881	PageRank: 0.0003045232206282037
Nodo: 8210	PageRank: 0.00030169317255087806
Nodo: 3050	PageRank: 0.0003003116402054381
Nodo: 714	PageRank: 0.0002964684684081231
Nodo: 7540	PageRank: 0.00029180475012684974
Nodo: 1611	PageRank: 0.00028985385899662233
